CustomerID,PurchaseDate,TransactionAmount,ProductInformation,OrderID,Location
2527,2022-06-01,608.23,Product D,891731,London
6850,2022-06-01,1444.71,Product A,896544,New York
7170,2022-06-01,365.51,Product B,894708,New York
7821,2022-06-01,800.34,Product C,893526,Paris
3521,2022-06-01,556.61,Product A,895554,New York
2041,2022-06-01,1551.31,Product C,894053,Tokyo
5033,2022-06-01,461.63,Product D,894732,Tokyo
3662,2022-06-01,1050.47,Product B,893361,Tokyo
5059,2022-06-01,1414.86,Product A,892130,Paris
2527,2022-06-01,1173.13,Product C,891730,New York
5670,2022-06-01,799.29,Product B,890086,London
6077,2022-06-01,640.83,Product B,890707,Paris
3926,2022-06-01,542.97,Product B,897265,New York
9148,2022-06-01,271.33,Product B,890091,Paris
1643,2022-06-01,688.06,Product B,894478,Tokyo
4559,2022-06-01,703.72,Product D,890716,London
9175,2022-06-01,335.13,Product A,895941,New York
8715,2022-06-01,404.02,Product A,894077,New York
6210,2022-06-01,1105.72,Product C,896611,New York
6071,2022-06-01,715.92,Product A,895724,Paris
2658,2022-06-01,1252.81,Product C,895899,London
7209,2022-06-01,304.12,Product D,892783,Tokyo
3262,2022-06-01,196.33,Product D,894275,London
6517,2022-06-01,788.15,Product C,897332,New York
4814,2022-06-01,585.82,Product D,890662,Tokyo
4765,2022-06-01,764.36,Product A,893213,Tokyo
1749,2022-06-01,319.08,Product A,892383,New York
5059,2022-06-02,1371.92,Product B,892141,Paris
3871,2022-06-02,1007.97,Product B,895034,Paris
7022,2022-06-02,1202.24,Product A,897369,Tokyo
8490,2022-06-02,609.5,Product C,890854,Paris
7431,2022-06-02,246.0,Product A,894711,New York
3203,2022-06-02,1030.83,Product D,897426,New York
2228,2022-06-02,448.83,Product D,890158,Tokyo
5622,2022-06-02,190.79,Product B,892101,New York
8982,2022-06-02,1125.06,Product D,895222,Paris
3363,2022-06-02,373.03,Product C,891437,New York
1990,2022-06-02,1355.76,Product A,897695,Paris
5477,2022-06-02,406.41,Product C,895533,Paris
8178,2022-06-02,328.56,Product D,891323,New York
5334,2022-06-02,1399.36,Product B,896451,New York
2153,2022-06-02,529.01,Product B,896846,Paris
4675,2022-06-02,623.52,Product B,895914,Tokyo
5819,2022-06-02,1398.49,Product D,893652,New York
9751,2022-06-02,488.35,Product A,895756,Paris
